Category,Subcategory,Viewercount,timestamp_of_extraction
IRL,Just Chatting,71890,2024-03-20T22:18:14Z
ShooterAction,Grand Theft Auto V (GTA),47350,2024-03-20T22:18:15Z
Gambling,Slots & Casino,45510,2024-03-20T22:18:15Z
Shooter,Call of Duty: Warzone,27170,2024-03-20T22:18:15Z
Action,Red Dead Redemption II,12280,2024-03-20T22:18:15Z
HorrorSurvival,Devour,9970,2024-03-20T22:18:15Z
IRL,Just Chatting,63220,2024-03-20T22:38:15Z
ShooterAction,Grand Theft Auto V (GTA),48770,2024-03-20T22:38:15Z
Gambling,Slots & Casino,44120,2024-03-20T22:38:15Z
Shooter,Call of Duty: Warzone,19000,2024-03-20T22:38:15Z
Action,Red Dead Redemption II,12920,2024-03-20T22:38:15Z
IRL,"Pools, Hot Tubs & Bikinis",10200,2024-03-20T22:38:15Z
IRL,Just Chatting,57070,2024-03-20T22:43:13Z
ShooterAction,Grand Theft Auto V (GTA),52530,2024-03-20T22:43:13Z
Gambling,Slots & Casino,43680,2024-03-20T22:43:13Z
Shooter,Call of Duty: Warzone,19240,2024-03-20T22:43:13Z
Action,Red Dead Redemption II,13110,2024-03-20T22:43:13Z
IRL,"Pools, Hot Tubs & Bikinis",10190,2024-03-20T22:43:13Z
IRL,Just Chatting,57420,2024-03-20T22:48:13Z
ShooterAction,Grand Theft Auto V (GTA),57030,2024-03-20T22:48:13Z
Gambling,Slots & Casino,45080,2024-03-20T22:48:13Z
Shooter,Call of Duty: Warzone,18630,2024-03-20T22:48:13Z
Action,Red Dead Redemption II,13480,2024-03-20T22:48:13Z
IRL,"Pools, Hot Tubs & Bikinis",10620,2024-03-20T22:48:13Z
ShooterAction,Grand Theft Auto V (GTA),57650,2024-03-20T22:53:14Z
IRL,Just Chatting,57120,2024-03-20T22:53:14Z
Gambling,Slots & Casino,45420,2024-03-20T22:53:14Z
Shooter,Call of Duty: Warzone,18650,2024-03-20T22:53:14Z
Action,Red Dead Redemption II,13870,2024-03-20T22:53:14Z
IRL,"Pools, Hot Tubs & Bikinis",10690,2024-03-20T22:53:14Z
ShooterAction,Grand Theft Auto V (GTA),59000,2024-03-20T22:58:14Z
IRL,Just Chatting,56450,2024-03-20T22:58:14Z
Gambling,Slots & Casino,45680,2024-03-20T22:58:14Z
Shooter,Call of Duty: Warzone,18770,2024-03-20T22:58:14Z
Action,Red Dead Redemption II,13970,2024-03-20T22:58:14Z
MOBAAction,League of Legends ,12660,2024-03-20T22:58:14Z
IRL,Just Chatting,58920,2024-03-20T23:03:13Z
ShooterAction,Grand Theft Auto V (GTA),51380,2024-03-20T23:03:13Z
Gambling,Slots & Casino,45580,2024-03-20T23:03:13Z
Shooter,Call of Duty: Warzone,17830,2024-03-20T23:03:13Z
Action,Red Dead Redemption II,13410,2024-03-20T23:03:13Z
MOBAAction,League of Legends ,12800,2024-03-20T23:03:13Z
IRL,Just Chatting,62010,2024-03-20T23:08:14Z
ShooterAction,Grand Theft Auto V (GTA),47820,2024-03-20T23:08:14Z
Gambling,Slots & Casino,45280,2024-03-20T23:08:14Z
Shooter,Call of Duty: Warzone,17620,2024-03-20T23:08:14Z
Action,Red Dead Redemption II,13540,2024-03-20T23:08:14Z
MOBAAction,League of Legends ,12500,2024-03-20T23:08:14Z
IRL,Just Chatting,59760,2024-03-20T23:13:13Z
ShooterAction,Grand Theft Auto V (GTA),48970,2024-03-20T23:13:13Z
Gambling,Slots & Casino,45160,2024-03-20T23:13:13Z
Shooter,Call of Duty: Warzone,18330,2024-03-20T23:13:13Z
Action,Red Dead Redemption II,13270,2024-03-20T23:13:13Z
MOBAAction,League of Legends ,12910,2024-03-20T23:13:13Z
IRL,Just Chatting,61980,2024-03-20T23:18:13Z
ShooterAction,Grand Theft Auto V (GTA),49370,2024-03-20T23:18:13Z
Gambling,Slots & Casino,44890,2024-03-20T23:18:13Z
Shooter,Call of Duty: Warzone,18430,2024-03-20T23:18:13Z
Action,Red Dead Redemption II,13100,2024-03-20T23:18:13Z
MOBAAction,League of Legends ,12120,2024-03-20T23:18:13Z
IRL,Just Chatting,66860,2024-03-20T23:23:14Z
ShooterAction,Grand Theft Auto V (GTA),47620,2024-03-20T23:23:14Z
Gambling,Slots & Casino,44390,2024-03-20T23:23:14Z
Shooter,Call of Duty: Warzone,18330,2024-03-20T23:23:14Z
Action,Red Dead Redemption II,13060,2024-03-20T23:23:14Z
MOBAAction,League of Legends ,11550,2024-03-20T23:23:14Z
IRL,Just Chatting,73760,2024-03-20T23:28:14Z
